,FLYW
Price/Earnings (TTM),
Price/Sales (TTM),8.53785
Price/Book (MRQ),4.81104
Price/Cash Flow (TTM),
5yr Low,14.56
5yr High,57.41
5yr Avg Return,-0.1641
Short Int Current Month,4599309.0
Short Int Prev Month,4816320.0
Short Int Pct of Float,0.045641999999999995
Days to Cover,2.94974
Float,97.21625
Shares Outstanding,108.9995
Institutions Holding Shares,209.0
% Held by Institutions,0.874158
FCF Growth 5yr,-0.6645157399325787
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
