,FLYW
% Above Low,0.44020000000000004
% Held by Institutions,0.8742
52-Wk Range,['14.56 - 43.17']
Annual Dividend $,
Annual Dividend %,
Ask,22.5
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,
Bid,18.99
Bid Size,1000.0
Closing Price,20.97
Day Change $,-0.14
Day Change %,-0.0066
Day High,21.07
Day Low,20.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.11
Shares Outstanding,109.0M
Short Interest,0.045599999999999995
Today's Open,21.01
Volume,296008.0
Volume 10-day Avg,1370856.0
Volume Past Day,(Light)
