,MRTX
Price/Earnings (TTM),
Price/Sales (TTM),481.2489
Price/Book (MRQ),5.02849
Price/Cash Flow (TTM),
5yr Low,15.35
5yr High,249.42
5yr Avg Return,0.5809333333333333
Short Int Current Month,8084646.0
Short Int Prev Month,7727636.0
Short Int Pct of Float,0.1492608
Days to Cover,8.64155
Float,54.20636
Shares Outstanding,57.58688
Institutions Holding Shares,344.0
% Held by Institutions,1.090077
FCF Growth 5yr,0.2543699332360547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
