,MRTX
% Below High,0.3603
% Held by Institutions,1.0901
52-Wk Range,['32.96 - 154.17']
Annual Dividend $,
Annual Dividend %,
Ask,104.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,63.11
Bid Size,100.0
Closing Price,98.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-13.38
Ex-dividend Date,No dividend
Historical Volatility,0.8220000000000001
Last (size),300.0
Last (time),1:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,98.62
Shares Outstanding,57.6M
Short Interest,0.1493
Today's Open,
Volume,926920.0
Volume 10-day Avg,1848559.0
Volume Past Day,(Light)
