,CYXT
% Above Low,0.0747
% Held by Institutions,0.6124
52-Wk Range,['1.74 - 15.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.99
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,1.35
Bid Size,300.0
Closing Price,1.87
Day Change $,0.08
Day Change %,0.0447
Day High,1.94
Day Low,1.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.71
Ex-dividend Date,No dividend
Historical Volatility,0.7040000000000001
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,335.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.79
Shares Outstanding,179.6M
Short Interest,0.025699999999999997
Today's Open,1.81
Volume,177537.0
Volume 10-day Avg,619204.0
Volume Past Day,(Light)
