,CYXT
Price/Earnings (TTM),
Price/Sales (TTM),0.45917
Price/Book (MRQ),0.58152
Price/Cash Flow (TTM),10.30321
5yr Low,1.74
5yr High,15.42
5yr Avg Return,-0.20113333333333333
Short Int Current Month,3417157.0
Short Int Prev Month,3795801.0
Short Int Pct of Float,0.0256932
Days to Cover,4.32805
Float,133.0068
Shares Outstanding,179.6175
Institutions Holding Shares,135.0
% Held by Institutions,0.612367
FCF Growth 5yr,0.13913509759856654
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
