,NSSC
% Below High,0.155
% Held by Institutions,0.6925
52-Wk Range,['15.39 - 31.30']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.1
Bid,19.69
Bid Size,200.0
Closing Price,26.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.49
Ex-dividend Date,No dividend
Historical Volatility,0.441
Last (size),196.0
Last (time),1:00p ET 11/25/22
Market Cap,971.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",53.49
Prev Close,26.45
Shares Outstanding,36.7M
Short Interest,0.0759
Today's Open,
Volume,92905.0
Volume 10-day Avg,213365.0
Volume Past Day,(Light)
