,HL
% Above Low,0.5191
% Held by Institutions,0.5775
52-Wk Range,['3.41 - 7.66']
Annual Dividend $,0.0225
Annual Dividend %,0.0043
Ask,5.18
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,2.0
Bid,5.14
Bid Size,1600.0
Closing Price,5.18
Day Change $,-0.03
Day Change %,-0.0058
Day High,5.22
Day Low,5.13
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",-0.04
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.627
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.21
Shares Outstanding,606.3M
Short Interest,0.026099999999999998
Today's Open,5.21
Volume,3052891.0
Volume 10-day Avg,7215197.0
Volume Past Day,(Light)
