,HL
Price/Earnings (TTM),
Price/Sales (TTM),4.42847
Price/Book (MRQ),1.57825
Price/Cash Flow (TTM),26.60411
5yr Low,1.21
5yr High,9.44
5yr Avg Return,0.1226333333333333
EPS Growth 5yr,-0.1682027
Revenue Growth 5yr,0.045646500000000007
Dividend Growth 5yr,0.27542449999999996
Short Int Current Month,14679593.0
Short Int Prev Month,15142113.0
Short Int Pct of Float,0.0260941
Days to Cover,1.47199
Float,562.5634
Shares Outstanding,606.2706
Institutions Holding Shares,363.0
% Held by Institutions,0.577527
FCF Growth 5yr,-1.0890304998712346
