,HL
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,4.0
Growth 1yr High Est,0.6666666666666667
Growth 1yr Consensus Est,2.3333333333333335
Growth 2yr Low Est,0.7000000000000002
Growth 2yr High Est,0.8833333333333332
Growth 2yr Consensus Est,0.7916666666666667
Growth 5yr Low Est,0.11315789473684212
Growth 5yr High Est,0.041666666666666574
Growth 5yr Consensus Est,0.07741228070175443
Growth 5yr Actual/Est,1.1016483516483517
Growth 3yr Historic,0.2980769230769232
