,WOW
% Above Low,0.0767
% Held by Institutions,0.8848
52-Wk Range,['9.78 - 22.94']
Annual Dividend $,
Annual Dividend %,
Ask,15.97
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,10.0
Bid Size,100.0
Closing Price,10.53
Day Change $,-0.25
Day Change %,-0.0232
Day High,10.83
Day Low,10.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.533
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,923.9M
"P/E Ratio (TTM, GAAP)",118.06
Prev Close,10.78
Shares Outstanding,87.7M
Short Interest,0.0302
Today's Open,10.65
Volume,464369.0
Volume 10-day Avg,530773.0
Volume Past Day,(Below Average)
