,WOW
Price/Earnings (TTM),118.0594
Price/Sales (TTM),1.34478
Price/Book (MRQ),1.59374
Price/Cash Flow (TTM),5.10247
5yr Low,2.95
5yr High,23.93
5yr Avg Return,0.12018333333333331
EPS Growth 5yr,
Revenue Growth 5yr,-0.1011702
Dividend Growth 5yr,
Short Int Current Month,1601647.0
Short Int Prev Month,2123899.0
Short Int Pct of Float,0.0301521
Days to Cover,2.11534
Float,53.09789
Shares Outstanding,87.66016
Institutions Holding Shares,186.0
% Held by Institutions,0.884772
FCF Growth 5yr,-6.880735239832366
