,RDFN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.880952380952381
Growth 1yr High Est,1.7657657657657655
Growth 1yr Consensus Est,1.8233590733590732
Growth 2yr Low Est,0.7366194411648956
Growth 2yr High Est,0.5115473779968893
Growth 2yr Consensus Est,0.6240834095808925
Growth 5yr Low Est,0.4397382920110193
Growth 5yr High Est,0.32844810760309584
Growth 5yr Consensus Est,0.38409319980705753
Growth 5yr Actual/Est,1.1725595600834449
Growth 3yr Historic,0.7827322134387352
