,RDFN
Price/Earnings (TTM),
Price/Sales (TTM),0.23235
Price/Book (MRQ),5.29482
Price/Cash Flow (TTM),
5yr Low,3.08
5yr High,98.45
5yr Avg Return,0.20601666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.4839499
Dividend Growth 5yr,
Short Int Current Month,21161612.0
Short Int Prev Month,17366012.0
Short Int Pct of Float,0.20157879999999997
Days to Cover,2.43123
Float,105.0396
Shares Outstanding,108.7487
Institutions Holding Shares,270.0
% Held by Institutions,0.817184
FCF Growth 5yr,-1.607043887915523
