,RDFN
% Above Low,0.7276
% Held by Institutions,0.8172
52-Wk Range,['3.08 - 42.99']
Annual Dividend $,
Annual Dividend %,
Ask,5.33
Ask Size,900.0
B/A Ratio,0.3333333333333333
B/A Size,300x900
Beta,1.8
Bid,5.32
Bid Size,300.0
Day Change $,0.0909
Day Change %,0.0174
Day High,5.54
Day Low,5.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.69
Ex-dividend Date,No dividend
Historical Volatility,0.9540000000000001
Last (size),50.0
Last (time),12:26p ET 11/28/22
Market Cap,578.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,5.23
Price,5.32
Shares Outstanding,108.7M
Short Interest,0.2016
Today's Open,5.11
Volume Past Day,(Light)
