,WDC
% Above Low,0.1441
% Held by Institutions,0.8403
52-Wk Range,['31.56 - 69.36']
Annual Dividend $,
Annual Dividend %,
Ask,36.17
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,35.7
Bid Size,200.0
Closing Price,36.11
Day Change $,-1.23
Day Change %,-0.0329
Day High,36.86
Day Low,35.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.91
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),45.0
Last (time),3:59p ET 11/28/22
Market Cap,11.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.85
Prev Close,37.34
Shares Outstanding,317.7M
Short Interest,0.0268
Today's Open,36.76
Volume,2700872.0
Volume 10-day Avg,3448103.0
Volume Past Day,(Light)
