,ABBV
% Below High,0.0926
% Held by Institutions,0.6811
52-Wk Range,['115.10 - 175.91']
Annual Dividend $,5.92
Annual Dividend %,0.0371
Ask,169.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,152.04
Bid Size,100.0
Closing Price,159.62
Day Change $,0.23
Day Change %,0.0014000000000000002
Day High,160.75
Day Low,159.24
Dividend Pay Date,2023-02-15 00:00:00
"EPS (TTM, GAAP)",7.51
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.226
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,282.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.26
Prev Close,159.39
Shares Outstanding,1.8B
Short Interest,0.0073
Today's Open,159.59
Volume,1661909.0
Volume 10-day Avg,5475146.0
Volume Past Day,(Light)
