,ABBV
Price/Earnings (TTM),21.26398
Price/Sales (TTM),4.88222
Price/Book (MRQ),17.64863
Price/Cash Flow (TTM),13.00432
5yr Low,62.55
5yr High,175.91
5yr Avg Return,0.09761666666666664
EPS Growth 5yr,0.12187010000000001
Revenue Growth 5yr,0.16994589999999998
Dividend Growth 5yr,0.1792712
Short Int Current Month,12907317.0
Short Int Prev Month,13798523.0
Short Int Pct of Float,0.0073077
Days to Cover,2.4037
Float,1766.515
Shares Outstanding,1768.48
Institutions Holding Shares,3626.0
% Held by Institutions,0.68106
FCF Growth 5yr,0.33768683854793097
