,NETI
% Below High,0.034300000000000004
% Held by Institutions,0.3062
52-Wk Range,['4.81 - 9.81']
Annual Dividend $,0.04
Annual Dividend %,0.0042
Ask,9.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,8.22
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,9.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.24
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.595
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,9.47
Market Cap,364.1M
"P/E Ratio (TTM, GAAP)",7.64
Prev Close,9.47
Shares Outstanding,38.4M
Short Interest,0.0425
Today's Open,
Volume,1.0
Volume 10-day Avg,254863.0
Volume Past Day,(Light)
