,ALB
Price/Earnings (TTM),20.6866
Price/Sales (TTM),5.71424
Price/Book (MRQ),4.74695
Price/Cash Flow (TTM),21.82727
5yr Low,48.89
5yr High,334.55
5yr Avg Return,0.1975
EPS Growth 5yr,-0.2291562
Revenue Growth 5yr,0.044478
Dividend Growth 5yr,0.052322
Short Int Current Month,1991174.0
Short Int Prev Month,2143797.0
Short Int Pct of Float,0.017024300000000003
Days to Cover,1.17735
Float,116.9633
Shares Outstanding,117.1528
Institutions Holding Shares,1305.0
% Held by Institutions,0.8289960000000001
FCF Growth 5yr,4.588352467081698
