,ALB
% Below High,0.1845
% Held by Institutions,0.8290000000000001
52-Wk Range,['169.93 - 334.55']
Annual Dividend $,1.58
Annual Dividend %,0.0058
Ask,271.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,271.55
Bid Size,100.0
Closing Price,272.82
Day Change $,-11.08
Day Change %,-0.039
Day High,277.68
Day Low,266.71
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",13.19
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.556
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,32.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,283.9
Shares Outstanding,117.2M
Short Interest,0.017
Today's Open,276.8
Volume,1341936.0
Volume 10-day Avg,1550929.0
Volume Past Day,(Below Average)
