,BHF
% Below High,0.1121
% Held by Institutions,0.8172
52-Wk Range,['38.38 - 62.33']
Annual Dividend $,
Annual Dividend %,
Ask,55.76
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,1.4
Bid,54.92
Bid Size,1800.0
Closing Price,55.34
Day Change $,0.66
Day Change %,0.0121
Day High,55.5
Day Low,52.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.39
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),860.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.86
Prev Close,54.68
Shares Outstanding,69.1M
Short Interest,0.0433
Today's Open,54.69
Volume,138775.0
Volume 10-day Avg,452046.0
Volume Past Day,(Light)
