,BHF
Price/Earnings (TTM),4.85851
Price/Sales (TTM),0.38123
Price/Book (MRQ),0.66686
Price/Cash Flow (TTM),
5yr Low,12.05
5yr High,67.55
5yr Avg Return,0.03974999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.1862856
Dividend Growth 5yr,
Short Int Current Month,2967530.0
Short Int Prev Month,2244616.0
Short Int Pct of Float,0.0433274
Days to Cover,4.04321
Float,68.49998
Shares Outstanding,69.12969
Institutions Holding Shares,511.0
% Held by Institutions,0.817231
FCF Growth 5yr,
