,BHF
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.859481582537517
Growth 2yr High Est,0.16666666666666674
Growth 2yr Consensus Est,0.5130741246020919
Growth 5yr Low Est,0.859481582537517
Growth 5yr High Est,0.16666666666666674
Growth 5yr Consensus Est,0.5130741246020919
Growth 5yr Actual/Est,-2.466717474114706
Growth 3yr Historic,-2.478229884167892
