,AXGN
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.045454545454545414
Growth 1yr High Est,-0.2564102564102565
Growth 1yr Consensus Est,-0.10547785547785554
Growth 2yr Low Est,0.24011857707509876
Growth 2yr High Est,-0.23165340406719714
Growth 2yr Consensus Est,0.004232586503950808
Growth 5yr Low Est,0.12005928853754938
Growth 5yr High Est,-0.11582670203359857
Growth 5yr Consensus Est,0.002116293251975404
Growth 5yr Actual/Est,0.02064821143768511
Growth 3yr Historic,-0.05670426065162906
