,AXGN
Price/Earnings (TTM),
Price/Sales (TTM),3.52922
Price/Book (MRQ),4.65872
Price/Cash Flow (TTM),
5yr Low,6.87
5yr High,56.85
5yr Avg Return,-0.10051666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.25377890000000003
Dividend Growth 5yr,
Short Int Current Month,542515.0
Short Int Prev Month,836229.0
Short Int Pct of Float,0.013806099999999998
Days to Cover,1.55646
Float,39.38227
Shares Outstanding,42.28659
Institutions Holding Shares,168.0
% Held by Institutions,0.77998
FCF Growth 5yr,0.06514556916592278
