,IBP
% Above Low,0.1749
% Held by Institutions,0.8205
52-Wk Range,['69.45 - 141.43']
Annual Dividend $,1.26
Annual Dividend %,0.0154
Ask,82.16
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,81.59
Day Change $,0.63
Day Change %,0.0078000000000000005
Day High,82.15
Day Low,80.29
Dividend Pay Date,2022-12-31 00:00:00
"EPS (TTM, GAAP)",6.34
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.503
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,80.96
Shares Outstanding,28.6M
Short Interest,0.0475
Today's Open,80.3
Volume,83930.0
Volume 10-day Avg,173772.0
Volume Past Day,(Light)
