,IBP
Price/Earnings (TTM),12.87142
Price/Sales (TTM),0.92717
Price/Book (MRQ),5.10106
Price/Cash Flow (TTM),8.50812
5yr Low,29.02
5yr High,141.43
5yr Avg Return,0.1454
EPS Growth 5yr,0.2665233
Revenue Growth 5yr,0.17932510000000002
Dividend Growth 5yr,
Short Int Current Month,1099555.0
Short Int Prev Month,979853.0
Short Int Pct of Float,0.047474499999999996
Days to Cover,4.63138
Float,23.17634
Shares Outstanding,28.60341
Institutions Holding Shares,296.0
% Held by Institutions,0.820457
FCF Growth 5yr,0.5113354052124327
