,IMCR
% Below High,0.10880000000000001
% Held by Institutions,0.5616
52-Wk Range,['18.43 - 69.06']
Annual Dividend $,
Annual Dividend %,
Ask,74.04
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,47.55
Bid Size,200.0
Closing Price,61.54
Day Change $,-1.73
Day Change %,-0.0273
Day High,63.64
Day Low,60.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.53
Ex-dividend Date,No dividend
Historical Volatility,0.738
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,63.27
Shares Outstanding,47.9M
Short Interest,0.0482
Today's Open,62.38
Volume,109712.0
Volume 10-day Avg,528006.0
Volume Past Day,(Light)
