,IMCR
Price/Earnings (TTM),
Price/Sales (TTM),34.41321
Price/Book (MRQ),13.5566
Price/Cash Flow (TTM),
5yr Low,18.43
5yr High,69.06
5yr Avg Return,0.30095000000000005
Short Int Current Month,1682774.0
Short Int Prev Month,1993291.0
Short Int Pct of Float,0.048168499999999996
Days to Cover,3.60143
Float,29.58988
Shares Outstanding,45.3037
Institutions Holding Shares,93.0
% Held by Institutions,0.561618
FCF Growth 5yr,-0.05578925512017955
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
