,PNW
Price/Earnings (TTM),17.40286
Price/Sales (TTM),2.10388
Price/Book (MRQ),1.38521
Price/Cash Flow (TTM),6.57891
5yr Low,59.03
5yr High,105.51
5yr Avg Return,-0.025483333333333334
EPS Growth 5yr,0.0544691
Revenue Growth 5yr,0.0168653
Dividend Growth 5yr,0.057122200000000005
Short Int Current Month,2035089.0
Short Int Prev Month,2546505.0
Short Int Pct of Float,0.018091
Days to Cover,2.0282
Float,112.5016
Shares Outstanding,113.1402
Institutions Holding Shares,662.0
% Held by Institutions,0.895561
FCF Growth 5yr,1.0146605678704326
