,PNW
% Below High,0.0504
% Held by Institutions,0.8956000000000001
52-Wk Range,['59.03 - 80.51']
Annual Dividend $,3.46
Annual Dividend %,0.0452
Ask,76.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,76.41
Bid Size,200.0
Day Change $,-0.0466
Day Change %,-0.0006
Day High,76.6
Day Low,75.7
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.24800000000000003
Last (size),1.0
Last (time),11:13a ET 11/28/22
Market Cap,8.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.4
Prev Close,76.5
Price,76.45
Shares Outstanding,113.1M
Short Interest,0.0181
Today's Open,76.06
Volume Past Day,(Light)
