,PNW
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.19999999999999996
Growth 1yr High Est,-0.19324577861163228
Growth 1yr Consensus Est,-0.19662288930581612
Growth 2yr Low Est,-0.08999999999999997
Growth 2yr High Est,-0.09894847070116491
Growth 2yr Consensus Est,-0.09447423535058244
Growth 5yr Low Est,-0.023260869565217335
Growth 5yr High Est,-0.02518299823718037
Growth 5yr Consensus Est,-0.024221933901198853
Growth 5yr Actual/Est,-0.021265685152361435
Growth 3yr Historic,0.036041911501986656
