,EQT
Price/Earnings (TTM),9.36294
Price/Sales (TTM),2.01004
Price/Book (MRQ),1.64696
Price/Cash Flow (TTM),4.36779
5yr Low,4.21
5yr High,60.35
5yr Avg Return,0.12181666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.17181180000000001
Dividend Growth 5yr,
Short Int Current Month,21145497.0
Short Int Prev Month,23650627.0
Short Int Pct of Float,0.0578624
Days to Cover,3.34362
Float,365.4667
Shares Outstanding,367.046
Institutions Holding Shares,772.0
% Held by Institutions,0.9540569999999999
FCF Growth 5yr,0.4561789895855428
