,EQT
% Below High,0.172
% Held by Institutions,0.9541
52-Wk Range,['17.95 - 51.97']
Annual Dividend $,0.6
Annual Dividend %,0.0139
Ask,44.05
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.2
Bid,43.0
Bid Size,900.0
Closing Price,43.03
Day Change $,-0.53
Day Change %,-0.012199999999999999
Day High,43.76
Day Low,42.91
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.6
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.5750000000000001
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,15.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.36
Prev Close,43.56
Shares Outstanding,367.0M
Short Interest,0.0579
Today's Open,43.41
Volume,1711769.0
Volume 10-day Avg,5008457.0
Volume Past Day,(Light)
