,ARW
Price/Earnings (TTM),5.1501
Price/Sales (TTM),0.18389
Price/Book (MRQ),1.30303
Price/Cash Flow (TTM),4.12173
5yr Low,39.25
5yr High,137.95
5yr Avg Return,0.07298333333333332
EPS Growth 5yr,0.2159651
Revenue Growth 5yr,0.0797848
Dividend Growth 5yr,
Short Int Current Month,1512691.0
Short Int Prev Month,1630178.0
Short Int Pct of Float,0.0248003
Days to Cover,3.25933
Float,61.09891
Shares Outstanding,61.50826
Institutions Holding Shares,660.0
% Held by Institutions,0.981493
FCF Growth 5yr,-0.5258699502617784
