,ARW
% Above Low,0.23149999999999998
% Held by Institutions,0.9815
52-Wk Range,['89.38 - 137.95']
Annual Dividend $,
Annual Dividend %,
Ask,110.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,77.07
Bid Size,100.0
Closing Price,110.07
Day Change $,-0.12
Day Change %,-0.0011
Day High,111.04
Day Low,109.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.37
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.15
Prev Close,110.19
Shares Outstanding,61.5M
Short Interest,0.0248
Today's Open,110.1
Volume,210079.0
Volume 10-day Avg,477259.0
Volume Past Day,(Light)
