,KYMR
Price/Earnings (TTM),
Price/Sales (TTM),33.14898
Price/Book (MRQ),2.9645
Price/Cash Flow (TTM),
5yr Low,13.15
5yr High,91.92
5yr Avg Return,0.07303333333333334
Short Int Current Month,7883202.0
Short Int Prev Month,8354125.0
Short Int Pct of Float,0.1548298
Days to Cover,12.08287
Float,50.97501
Shares Outstanding,54.86473
Institutions Holding Shares,189.0
% Held by Institutions,0.964353
FCF Growth 5yr,0.24254653307883264
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
