,KYMR
% Above Low,1.1118000000000001
% Held by Institutions,0.9643999999999999
52-Wk Range,['13.15 - 66.45']
Annual Dividend $,
Annual Dividend %,
Ask,42.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,21.0
Bid Size,100.0
Closing Price,27.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.94
Ex-dividend Date,No dividend
Historical Volatility,0.87
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.77
Shares Outstanding,54.9M
Short Interest,0.1548
Today's Open,
Volume,201354.0
Volume 10-day Avg,564544.0
Volume Past Day,(Light)
