,CRTO
% Above Low,0.2758
% Held by Institutions,0.9599
52-Wk Range,['20.56 - 43.49']
Annual Dividend $,
Annual Dividend %,
Ask,27.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,0.8
Bid,26.15
Bid Size,1000.0
Closing Price,26.23
Day Change $,-0.19
Day Change %,-0.0072
Day High,26.53
Day Low,26.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.02
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.65
Prev Close,26.42
Shares Outstanding,60.2M
Short Interest,0.03
Today's Open,26.28
Volume,100749.0
Volume 10-day Avg,275544.0
Volume Past Day,(Light)
