,CRTO
Price/Earnings (TTM),25.65281
Price/Sales (TTM),0.74997
Price/Book (MRQ),1.50088
Price/Cash Flow (TTM),6.94427
5yr Low,5.89
5yr High,46.65
5yr Avg Return,0.026833333333333334
EPS Growth 5yr,0.1080025
Revenue Growth 5yr,0.0461322
Dividend Growth 5yr,
Short Int Current Month,1786340.0
Short Int Prev Month,1706980.0
Short Int Pct of Float,0.0300297
Days to Cover,5.92579
Float,59.49429
Shares Outstanding,60.2108
Institutions Holding Shares,163.0
% Held by Institutions,0.9599179999999999
FCF Growth 5yr,-0.09475802649963032
