,BEN
% Above Low,0.32280000000000003
% Held by Institutions,0.4658
52-Wk Range,['20.24 - 36.45']
Annual Dividend $,1.16
Annual Dividend %,0.0433
Ask,28.0
Ask Size,200.0
B/A Ratio,17.5
B/A Size,3500x200
Beta,1.3
Bid,23.01
Bid Size,3500.0
Closing Price,26.77
Day Change $,0.22
Day Change %,0.0083
Day High,26.82
Day Low,26.46
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.53
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.38
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,26.55
Shares Outstanding,499.6M
Short Interest,0.0705
Today's Open,26.48
Volume,776005.0
Volume 10-day Avg,3222153.0
Volume Past Day,(Light)
