,BEN
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.4005763688760807
Growth 1yr High Est,-0.2416666666666667
Growth 1yr Consensus Est,-0.3211215177713737
Growth 2yr Low Est,-0.13778818443804036
Growth 2yr High Est,-0.03841575091575089
Growth 2yr Consensus Est,-0.08810196767689563
Growth 5yr Low Est,0.01865454591327556
Growth 5yr High Est,0.051076822051021376
Growth 5yr Consensus Est,0.03486568398214847
Growth 5yr Actual/Est,0.04774511870979942
Growth 3yr Historic,0.10088460671624971
