,BEN
Price/Earnings (TTM),10.58823
Price/Sales (TTM),1.61604
Price/Book (MRQ),1.1655
Price/Cash Flow (TTM),7.52656
5yr Low,14.91
5yr High,45.96
5yr Avg Return,-0.04621666666666667
EPS Growth 5yr,-0.034329
Revenue Growth 5yr,0.052995900000000006
Dividend Growth 5yr,0.0807386
Short Int Current Month,19887659.0
Short Int Prev Month,22380080.0
Short Int Pct of Float,0.0704669
Days to Cover,4.0287
Float,283.198
Shares Outstanding,499.5586
Institutions Holding Shares,757.0
% Held by Institutions,0.465816
FCF Growth 5yr,1.6236327819709377
