,EWCZ
Price/Earnings (TTM),217.371
Price/Sales (TTM),4.45327
Price/Book (MRQ),12.54885
Price/Cash Flow (TTM),24.60877
5yr Low,12.72
5yr High,34.67
5yr Avg Return,0.0259
Short Int Current Month,4594408.0
Short Int Prev Month,4635199.0
Short Int Pct of Float,0.1437642
Days to Cover,9.05968
Float,45.06774
Shares Outstanding,63.55205
Institutions Holding Shares,140.0
% Held by Institutions,0.931134
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
