,EWCZ
% Above Low,0.0959
% Held by Institutions,0.9311
52-Wk Range,['12.72 - 33.31']
Annual Dividend $,
Annual Dividend %,
Ask,22.3
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,13.5
Bid Size,100.0
Closing Price,13.94
Day Change $,0.1
Day Change %,0.0072
Day High,14.14
Day Low,13.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,630.5M
"P/E Ratio (TTM, GAAP)",217.37
Prev Close,13.84
Shares Outstanding,45.3M
Short Interest,0.1438
Today's Open,13.86
Volume,130640.0
Volume 10-day Avg,369553.0
Volume Past Day,(Light)
