,SPCE
% Above Low,0.1679
% Held by Institutions,0.33030000000000004
52-Wk Range,['4.11 - 16.85']
Annual Dividend $,
Annual Dividend %,
Ask,4.81
Ask Size,7100.0
B/A Ratio,1.704225352112676
B/A Size,12100x7100
Beta,0.8
Bid,4.8
Bid Size,12100.0
Day Change $,-0.3
Day Change %,-0.0588
Day High,5.1
Day Low,4.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.65
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),100.0
Last (time),2:59p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.1
Price,4.8
Shares Outstanding,274.6M
Short Interest,0.1957
Today's Open,5.0
Volume Past Day,(Below Average)
