,SPCE
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.49612403100775193
Growth 1yr High Est,0.4672131147540983
Growth 1yr Consensus Est,0.4816685728809251
Growth 2yr Low Est,0.3309635699080211
Growth 2yr High Est,0.10232164117593184
Growth 2yr Consensus Est,0.21664260554197648
Growth 5yr Low Est,0.22064237993868074
Growth 5yr High Est,0.06821442745062123
Growth 5yr Consensus Est,0.144428403694651
Growth 5yr Actual/Est,0.14383981481673108
Growth 3yr Historic,0.072697247706422
