,SPCE
Price/Earnings (TTM),
Price/Sales (TTM),883.9973
Price/Book (MRQ),2.28159
Price/Cash Flow (TTM),
5yr Low,4.11
5yr High,62.8
5yr Avg Return,0.01621666666666665
Short Int Current Month,43810072.0
Short Int Prev Month,45182462.0
Short Int Pct of Float,0.19572240000000002
Days to Cover,6.63307
Float,223.9117
Shares Outstanding,274.5592
Institutions Holding Shares,307.0
% Held by Institutions,0.330283
FCF Growth 5yr,0.42565825033717647
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
