,SMAR
% Above Low,0.14150000000000001
% Held by Institutions,0.9165000000000001
52-Wk Range,['25.09 - 80.89']
Annual Dividend $,
Annual Dividend %,
Ask,28.66
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,28.63
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.008
Day High,29.22
Day Low,28.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.74
Ex-dividend Date,No dividend
Historical Volatility,0.705
Last (size),100.0
Last (time),2:38p ET 11/28/22
Market Cap,3.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,28.87
Price,28.64
Shares Outstanding,130.6M
Short Interest,0.0212
Today's Open,28.64
Volume Past Day,(Light)
