,WHD
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.03846153846153855
Growth 1yr High Est,0.005376344086021501
Growth 1yr Consensus Est,-0.016542597187758523
Growth 2yr Low Est,0.13505494505494497
Growth 2yr High Est,0.20322293140129954
Growth 2yr Consensus Est,0.16913893822812226
Growth 5yr Low Est,0.06752747252747249
Growth 5yr High Est,0.10161146570064977
Growth 5yr Consensus Est,0.08456946911406113
Growth 5yr Actual/Est,0.3054458068046846
Growth 3yr Historic,-0.15530637796435412
