,WHD
Price/Earnings (TTM),34.19163
Price/Sales (TTM),6.36499
Price/Book (MRQ),7.37394
Price/Cash Flow (TTM),25.14769
5yr Low,8.16
5yr High,64.18
5yr Avg Return,0.21884000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.2311708
Dividend Growth 5yr,
Short Int Current Month,1660776.0
Short Int Prev Month,1980151.0
Short Int Pct of Float,0.027522099999999997
Days to Cover,4.02829
Float,60.32379
Shares Outstanding,75.87812
Institutions Holding Shares,292.0
% Held by Institutions,1.036316
FCF Growth 5yr,0.8213718324152527
