,WHD
% Below High,0.20739999999999997
% Held by Institutions,1.0363
52-Wk Range,['34.70 - 64.18']
Annual Dividend $,0.44
Annual Dividend %,0.0083
Ask,57.68
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.9
Bid,39.89
Bid Size,300.0
Closing Price,50.87
Day Change $,-2.02
Day Change %,-0.0382
Day High,52.63
Day Low,50.39
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.55
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.564
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",34.19
Prev Close,52.89
Shares Outstanding,60.7M
Short Interest,0.0275
Today's Open,51.29
Volume,506925.0
Volume 10-day Avg,366733.0
Volume Past Day,(Heavy Day)
