,CLAR
% Above Low,0.0712
% Held by Institutions,0.9520000000000001
52-Wk Range,['7.16 - 29.32']
Annual Dividend $,0.1
Annual Dividend %,0.013000000000000001
Ask,7.84
Ask Size,200.0
B/A Ratio,7.0
B/A Size,1400x200
Beta,0.9
Bid,7.37
Bid Size,1400.0
Closing Price,7.67
Day Change $,0.05
Day Change %,0.0066
Day High,7.83
Day Low,7.61
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",0.64
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.6829999999999999
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,284.3M
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,7.62
Shares Outstanding,37.0M
Short Interest,0.21539999999999998
Today's Open,7.67
Volume,219810.0
Volume 10-day Avg,711467.0
Volume Past Day,(Light)
