,CERE
% Above Low,0.4355
% Held by Institutions,0.8529000000000001
52-Wk Range,['19.86 - 41.46']
Annual Dividend $,
Annual Dividend %,
Ask,31.41
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,
Bid,25.0
Bid Size,500.0
Closing Price,28.51
Day Change $,-0.62
Day Change %,-0.0213
Day High,29.14
Day Low,28.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.13
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.13
Shares Outstanding,156.3M
Short Interest,0.08259999999999999
Today's Open,28.92
Volume,123111.0
Volume 10-day Avg,489671.0
Volume Past Day,(Light)
