,TDS
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-1.0437158469945356
Growth 1yr High Est,-0.700507614213198
Growth 1yr Consensus Est,-0.8721117306038668
Growth 2yr Low Est,2.228142076502732
Growth 2yr High Est,-0.21466058676761585
Growth 2yr Consensus Est,1.0067407448675583
Growth 5yr Low Est,1.4854280510018214
Growth 5yr High Est,-0.14310705784507724
Growth 5yr Consensus Est,0.6711604965783721
Growth 5yr Actual/Est,-0.24279135147328482
Growth 3yr Historic,0.09101299635280216
