,TDS
Price/Earnings (TTM),24.10767
Price/Sales (TTM),0.20149
Price/Book (MRQ),0.24311
Price/Cash Flow (TTM),1.1092
5yr Low,9.81
5yr High,37.29
5yr Avg Return,-0.12365
EPS Growth 5yr,0.21092110000000003
Revenue Growth 5yr,0.0066614
Dividend Growth 5yr,0.0340827
Short Int Current Month,3498734.0
Short Int Prev Month,4259309.0
Short Int Pct of Float,0.0354365
Days to Cover,1.1992
Float,91.11224
Shares Outstanding,106.1818
Institutions Holding Shares,305.0
% Held by Institutions,0.941407
FCF Growth 5yr,-1.5077464202464206
