,INCY
% Below High,0.07780000000000001
% Held by Institutions,0.971
52-Wk Range,['63.40 - 84.86']
Annual Dividend $,
Annual Dividend %,
Ask,79.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,78.3
Bid Size,100.0
Closing Price,78.26
Day Change $,0.5
Day Change %,0.0064
Day High,78.26
Day Low,77.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.94
Ex-dividend Date,No dividend
Historical Volatility,0.278
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.89
Prev Close,77.76
Shares Outstanding,222.5M
Short Interest,0.0322
Today's Open,77.33
Volume,238798.0
Volume 10-day Avg,1022205.0
Volume Past Day,(Light)
