,INCY
Price/Earnings (TTM),19.8851
Price/Sales (TTM),5.22727
Price/Book (MRQ),4.11894
Price/Cash Flow (TTM),18.51153
5yr Low,57.0
5yr High,110.37
5yr Avg Return,-0.009199999999999996
EPS Growth 5yr,0.5140486
Revenue Growth 5yr,0.2198229
Dividend Growth 5yr,
Short Int Current Month,7039829.0
Short Int Prev Month,8374918.0
Short Int Pct of Float,0.032197300000000005
Days to Cover,3.83376
Float,218.9275
Shares Outstanding,222.4755
Institutions Holding Shares,827.0
% Held by Institutions,0.9709789999999999
FCF Growth 5yr,0.3022682453009981
