,NEOG
% Above Low,0.551
% Held by Institutions,0.9022
52-Wk Range,['10.49 - 47.80']
Annual Dividend $,
Annual Dividend %,
Ask,16.5
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,0.8
Bid,15.62
Bid Size,200.0
Closing Price,16.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.34
Ex-dividend Date,No dividend
Historical Volatility,0.42200000000000004
Last (size),54.0
Last (time),1:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",48.2
Prev Close,16.27
Shares Outstanding,216.1M
Short Interest,0.0666
Today's Open,
Volume,944709.0
Volume 10-day Avg,3183184.0
Volume Past Day,(Light)
