,NEOG
Price/Earnings (TTM),48.19741
Price/Sales (TTM),6.61907
Price/Book (MRQ),1.9852
Price/Cash Flow (TTM),58.42592
5yr Low,10.49
5yr High,48.85
5yr Avg Return,-0.03686666666666666
EPS Growth 5yr,0.008834
Revenue Growth 5yr,0.0803004
Dividend Growth 5yr,
Short Int Current Month,14372145.0
Short Int Prev Month,14763614.0
Short Int Pct of Float,0.0666117
Days to Cover,2.94629
Float,215.7961
Shares Outstanding,216.1077
Institutions Holding Shares,472.0
% Held by Institutions,0.902165
FCF Growth 5yr,-0.46818227592390443
