,DTE
% Above Low,0.1405
% Held by Institutions,0.7445999999999999
52-Wk Range,['100.64 - 140.23']
Annual Dividend $,3.81
Annual Dividend %,0.0332
Ask,115.6
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,111.08
Bid Size,1000.0
Closing Price,114.78
Day Change $,0.29
Day Change %,0.0025
Day High,115.42
Day Low,114.6
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.22
Last (size),4800.0
Last (time),5:00p ET 11/25/22
Market Cap,22.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.95
Prev Close,114.49
Shares Outstanding,193.7M
Short Interest,0.01
Today's Open,114.91
Volume,386971.0
Volume 10-day Avg,1595886.0
Volume Past Day,(Light)
