,DTE
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.010204081632653184
Growth 1yr High Est,-0.10882352941176476
Growth 1yr Consensus Est,-0.04930972388955579
Growth 2yr Low Est,0.022778808493094216
Growth 2yr High Est,-0.026358959425354267
Growth 2yr Consensus Est,-0.0017900754661300255
Growth 5yr Low Est,0.0034427363474806294
Growth 5yr High Est,0.0075566645698165735
Growth 5yr Consensus Est,0.0054997004586486015
Growth 5yr Actual/Est,0.004811707013111122
Growth 3yr Historic,-0.006407157206879011
