,OFIX
% Above Low,0.24780000000000002
% Held by Institutions,0.9931
52-Wk Range,['13.76 - 36.13']
Annual Dividend $,
Annual Dividend %,
Ask,19.85
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,12.37
Bid Size,100.0
Closing Price,17.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.28
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,343.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.17
Shares Outstanding,20.0M
Short Interest,0.051
Today's Open,
Volume,75923.0
Volume 10-day Avg,185320.0
Volume Past Day,(Light)
